FractionatedSampleID,SampleID,Run,BioProject
G1.SURF.NS.S02C1.15m.0_2um.A,G1.SURF.NS.S02C1.15m.A,SRR9139204,PRJNA492143
G1.SURF.NS.S02C1.15m.3um.A,G1.SURF.NS.S02C1.15m.A,SRR17562263,PRJNA492143
G1.SURF.NS.S02C1.15m.0_2um.B,G1.SURF.NS.S02C1.15m.B,SRR9139203,PRJNA492143
G1.SURF.NS.S02C1.15m.3um.B,G1.SURF.NS.S02C1.15m.B,SRR17562262,PRJNA492143
G1.SURF.NS.S02C1.15m.0_2um.C,G1.SURF.NS.S02C1.15m.C,SRR9139205,PRJNA492143
G1.SURF.NS.S02C1.15m.3um.C,G1.SURF.NS.S02C1.15m.C,SRR17562261,PRJNA492143
G1.SURF.NS.S04C1.15m.0_2um.A,G1.SURF.NS.S04C1.15m.A,SRR17562259,PRJNA492143
G1.SURF.NS.S04C1.15m.3um.A,G1.SURF.NS.S04C1.15m.A,SRR17562256,PRJNA492143
G1.SURF.NS.S04C1.15m.0_2um.B,G1.SURF.NS.S04C1.15m.B,SRR17562258,PRJNA492143
G1.SURF.NS.S04C1.15m.3um.B,G1.SURF.NS.S04C1.15m.B,SRR17562255,PRJNA492143
G1.SURF.NS.S04C1.15m.0_2um.C,G1.SURF.NS.S04C1.15m.C,SRR17562257,PRJNA492143
G1.SURF.NS.S04C1.15m.3um.C,G1.SURF.NS.S04C1.15m.C,SRR17562254,PRJNA492143
G1.SURF.NS.S06C1.15m.0_2um.A,G1.SURF.NS.S06C1.15m.A,SRR17562253,PRJNA492143
G1.SURF.NS.S06C1.15m.3um.A,G1.SURF.NS.S06C1.15m.A,SRR17562250,PRJNA492143
G1.SURF.NS.S06C1.15m.0_2um.C,G1.SURF.NS.S06C1.15m.C,SRR17562251,PRJNA492143
G1.SURF.NS.S06C1.15m.3um.C,G1.SURF.NS.S06C1.15m.C,SRR17562248,PRJNA492143
G1.SURF.NS.S08C1.15m.0_2um.A,G1.SURF.NS.S08C1.15m.A,SRR17562247,PRJNA492143
G1.SURF.NS.S08C1.15m.3um.A,G1.SURF.NS.S08C1.15m.A,SRR17562244,PRJNA492143
G1.SURF.NS.S08C1.15m.0_2um.B,G1.SURF.NS.S08C1.15m.B,SRR17562246,PRJNA492143
G1.SURF.NS.S08C1.15m.3um.B,G1.SURF.NS.S08C1.15m.B,SRR17562243,PRJNA492143
G1.SURF.NS.S08C1.15m.0_2um.C,G1.SURF.NS.S08C1.15m.C,SRR17562245,PRJNA492143
G1.SURF.NS.S08C1.15m.3um.C,G1.SURF.NS.S08C1.15m.C,SRR17562242,PRJNA492143
G1.SURF.NS.S09C1.15m.0_2um.A,G1.SURF.NS.S09C1.15m.A,SRR17562241,PRJNA492143
G1.SURF.NS.S09C1.15m.3um.A,G1.SURF.NS.S09C1.15m.A,SRR17562237,PRJNA492143
G1.SURF.NS.S09C1.15m.0_2um.B,G1.SURF.NS.S09C1.15m.B,SRR17562240,PRJNA492143
G1.SURF.NS.S09C1.15m.3um.B,G1.SURF.NS.S09C1.15m.B,SRR17562236,PRJNA492143
G1.SURF.NS.S09C1.15m.0_2um.C,G1.SURF.NS.S09C1.15m.C,SRR17562239,PRJNA492143
G1.SURF.NS.S09C1.15m.3um.C,G1.SURF.NS.S09C1.15m.C,SRR17562235,PRJNA492143
G1.SURF.NS.S11C1.15m.0_2um.B,G1.SURF.NS.S11C1.15m.B,SRR17562249,PRJNA492143
G1.SURF.NS.S11C1.15m.3um.B,G1.SURF.NS.S11C1.15m.B,SRR17562234,PRJNA492143
G1.SURF.NS.S12C1.15m.0_2um.A,G1.SURF.NS.S12C1.15m.A,SRR17562233,PRJNA492143
G1.SURF.NS.S12C1.15m.3um.A,G1.SURF.NS.S12C1.15m.A,SRR17562231,PRJNA492143
G1.SURF.NS.S12C1.15m.0_2um.B,G1.SURF.NS.S12C1.15m.B,SRR17562232,PRJNA492143
G1.SURF.NS.S12C1.15m.3um.B,G1.SURF.NS.S12C1.15m.B,SRR17562230,PRJNA492143
G1.SURF.NS.S13C1.15m.0_2um.A,G1.SURF.NS.S13C1.15m.A,SRR17562270,PRJNA492143
G1.SURF.NS.S13C1.15m.3um.A,G1.SURF.NS.S13C1.15m.A,SRR17562268,PRJNA492143
G1.SURF.NS.S13C1.15m.0_2um.B,G1.SURF.NS.S13C1.15m.B,SRR17562269,PRJNA492143
G1.SURF.NS.S13C1.15m.3um.B,G1.SURF.NS.S13C1.15m.B,SRR17562267,PRJNA492143
G1.SURF.NS.S14C1.15m.0_2um.A,G1.SURF.NS.S14C1.15m.A,SRR17562266,PRJNA492143
G1.SURF.NS.S14C1.15m.3um.A,G1.SURF.NS.S14C1.15m.A,SRR17562272,PRJNA492143
G1.SURF.NS.S14C1.15m.0_2um.B,G1.SURF.NS.S14C1.15m.B,SRR17562265,PRJNA492143
G1.SURF.NS.S14C1.15m.3um.B,G1.SURF.NS.S14C1.15m.B,SRR17562271,PRJNA492143
G1.SURF.NS.S14C1.15m.0_2um.C,G1.SURF.NS.S14C1.15m.C,SRR17562264,PRJNA492143
G1.SURF.NS.S14C1.15m.3um.C,G1.SURF.NS.S14C1.15m.C,SRR17562260,PRJNA492143
G2.BEXP1.NS.Ctrl.T96.0_2um.A,G2.BEXP1.NS.Ctrl.T96.A,SRR28359984,PRJNA1088528
G2.BEXP1.NS.Ctrl.T96.0_2um.B,G2.BEXP1.NS.Ctrl.T96.B,SRR28359983,PRJNA1088528
G2.BEXP1.NS.Ctrl.T96.0_2um.C,G2.BEXP1.NS.Ctrl.T96.C,SRR28359972,PRJNA1088528
G2.BEXP1.NS.DHPS.T96.0_2um.A,G2.BEXP1.NS.DHPS.T96.A,SRR28359961,PRJNA1088528
G2.BEXP1.NS.DHPS.T96.0_2um.B,G2.BEXP1.NS.DHPS.T96.B,SRR28359954,PRJNA1088528
G2.BEXP1.NS.DHPS.T96.0_2um.C,G2.BEXP1.NS.DHPS.T96.C,SRR28359953,PRJNA1088528
G2.BEXP1.NS.Ise.T96.0_2um.A,G2.BEXP1.NS.Ise.T96.A,SRR28359952,PRJNA1088528
G2.BEXP1.NS.Ise.T96.0_2um.B,G2.BEXP1.NS.Ise.T96.B,SRR28359951,PRJNA1088528
G2.BEXP1.NS.Ise.T96.0_2um.C,G2.BEXP1.NS.Ise.T96.C,SRR28359950,PRJNA1088528
G2.BEXP1.NS.Tau.T96.0_2um.A,G2.BEXP1.NS.Tau.T96.A,SRR28359949,PRJNA1088528
G2.BEXP1.NS.Tau.T96.0_2um.B,G2.BEXP1.NS.Tau.T96.B,SRR28359982,PRJNA1088528
G2.BEXP1.NS.Tau.T96.0_2um.C,G2.BEXP1.NS.Tau.T96.C,SRR28359981,PRJNA1088528
G2.BEXP2.NS.Ctrl.T96.0_2um.A,G2.BEXP2.NS.Ctrl.T96.A,SRR28359980,PRJNA1088528
G2.BEXP2.NS.Ctrl.T96.0_2um.B,G2.BEXP2.NS.Ctrl.T96.B,SRR28359979,PRJNA1088528
G2.BEXP2.NS.Ctrl.T96.0_2um.C,G2.BEXP2.NS.Ctrl.T96.C,SRR28359978,PRJNA1088528
G2.BEXP2.NS.DHPS.T96.0_2um.A,G2.BEXP2.NS.DHPS.T96.A,SRR28359977,PRJNA1088528
G2.BEXP2.NS.DHPS.T96.0_2um.B,G2.BEXP2.NS.DHPS.T96.B,SRR28359976,PRJNA1088528
G2.BEXP2.NS.DHPS.T96.0_2um.C,G2.BEXP2.NS.DHPS.T96.C,SRR28359975,PRJNA1088528
G2.BEXP2.NS.Ise.T96.0_2um.A,G2.BEXP2.NS.Ise.T96.A,SRR28359974,PRJNA1088528
G2.BEXP2.NS.Ise.T96.0_2um.B,G2.BEXP2.NS.Ise.T96.B,SRR28359973,PRJNA1088528
G2.BEXP2.NS.Ise.T96.0_2um.C,G2.BEXP2.NS.Ise.T96.C,SRR28359971,PRJNA1088528
G2.BEXP2.NS.Tau.T96.0_2um.A,G2.BEXP2.NS.Tau.T96.A,SRR28359970,PRJNA1088528
G2.BEXP2.NS.Tau.T96.0_2um.B,G2.BEXP2.NS.Tau.T96.B,SRR28359969,PRJNA1088528
G2.BEXP2.NS.Tau.T96.0_2um.C,G2.BEXP2.NS.Tau.T96.C,SRR28359968,PRJNA1088528
G2.BEXP3.NS.Ctrl.T96.0_2um.A,G2.BEXP3.NS.Ctrl.T96.A,SRR28359967,PRJNA1088528
G2.BEXP3.NS.Ctrl.T96.0_2um.B,G2.BEXP3.NS.Ctrl.T96.B,SRR28359966,PRJNA1088528
G2.BEXP3.NS.Ctrl.T96.0_2um.C,G2.BEXP3.NS.Ctrl.T96.C,SRR28359965,PRJNA1088528
G2.BEXP3.NS.DHPS.T96.0_2um.A,G2.BEXP3.NS.DHPS.T96.A,SRR28359964,PRJNA1088528
G2.BEXP3.NS.DHPS.T96.0_2um.B,G2.BEXP3.NS.DHPS.T96.B,SRR28359963,PRJNA1088528
G2.BEXP3.NS.DHPS.T96.0_2um.C,G2.BEXP3.NS.DHPS.T96.C,SRR28359962,PRJNA1088528
G2.BEXP3.NS.Ise.T96.0_2um.A,G2.BEXP3.NS.Ise.T96.A,SRR28359960,PRJNA1088528
G2.BEXP3.NS.Ise.T96.0_2um.B,G2.BEXP3.NS.Ise.T96.B,SRR28359959,PRJNA1088528
G2.BEXP3.NS.Ise.T96.0_2um.C,G2.BEXP3.NS.Ise.T96.C,SRR28359958,PRJNA1088528
G2.BEXP3.NS.Tau.T96.0_2um.A,G2.BEXP3.NS.Tau.T96.A,SRR28359957,PRJNA1088528
G2.BEXP3.NS.Tau.T96.0_2um.B,G2.BEXP3.NS.Tau.T96.B,SRR28359956,PRJNA1088528
G2.BEXP3.NS.Tau.T96.0_2um.C,G2.BEXP3.NS.Tau.T96.C,SRR28359955,PRJNA1088528
G2.DCM.NS.S11C2.50m.0_2um.A,G2.DCM.NS.S11C2.50m.A,SRR28398604,PRJNA1090086
G2.DCM.NS.S11C2.50m.3um.A,G2.DCM.NS.S11C2.50m.A,SRR28398592,PRJNA1090086
G2.DCM.NS.S15C2.56m.0_2um.A,G2.DCM.NS.S15C2.56m.A,SRR28398588,PRJNA1090086
G2.DCM.NS.S15C2.56m.3um.A,G2.DCM.NS.S15C2.56m.A,SRR28398585,PRJNA1090086
G2.DCM.NS.S15C2.56m.0_2um.B,G2.DCM.NS.S15C2.56m.B,SRR28398587,PRJNA1090086
G2.DCM.NS.S15C2.56m.3um.B,G2.DCM.NS.S15C2.56m.B,SRR28398584,PRJNA1090086
G2.DCM.NS.S15C2.56m.0_2um.C,G2.DCM.NS.S15C2.56m.C,SRR28398586,PRJNA1090086
G2.DCM.NS.S15C2.56m.3um.C,G2.DCM.NS.S15C2.56m.C,SRR28398583,PRJNA1090086
G2.DCM.NS.S17C3.87m.0_2um.A,G2.DCM.NS.S17C3.87m.A,SRR28398602,PRJNA1090086
G2.DCM.NS.S17C3.87m.3um.A,G2.DCM.NS.S17C3.87m.A,SRR28398599,PRJNA1090086
G2.DCM.NS.S17C3.87m.0_2um.B,G2.DCM.NS.S17C3.87m.B,SRR28398601,PRJNA1090086
G2.DCM.NS.S17C3.87m.3um.B,G2.DCM.NS.S17C3.87m.B,SRR28398598,PRJNA1090086
G2.DCM.NS.S17C3.87m.0_2um.C,G2.DCM.NS.S17C3.87m.C,SRR28398600,PRJNA1090086
G2.DCM.NS.S17C3.87m.3um.C,G2.DCM.NS.S17C3.87m.C,SRR28398597,PRJNA1090086
G2.DCM.NS.S18C2.95m.0_2um.A,G2.DCM.NS.S18C2.95m.A,SRR28398596,PRJNA1090086
G2.DCM.NS.S18C2.95m.3um.A,G2.DCM.NS.S18C2.95m.A,SRR28398593,PRJNA1090086
